0,CHEVROLET,CRUZE,CRUZE,Gasolina,2010,BOSCH,S570D,1102303
0,BMW,Serie3e46,Serie 3 (e46),Gasolina,,BOSCH,S570D,1102303
0,BMW,Serie5e39,Serie 5 (e39),Gasolina,,BOSCH,S570D,1102303
0,BYD,F0,F0,Gasolina,2008+,BOSCH,S560D,1102273
0,BYD,F3,F3,Gasolina,2008+,BOSCH,S560D,1102273
0,CHANGAN,BENNI,BENNI,Gasolina,2006+,BOSCH,9PLACAS NS40ZL/40B19L.,115886
0,CHERY,QQ,QQ,Gasolina,2008+,BOSCH,9PLACAS NS40ZL/40B19L.,115886
0,CHERY,TIGGO,TIGGO,Gasolina,2008+,BOSCH,9PLACAS NS40ZL/40B19L.,115886
0,CHERY,FACE,FACE,Gasolina,2010+,BOSCH,9PLACAS NS40ZL/40B19L.,115886
0,CHEVROLET,CORSATAXI,CORSA / TAXI,Gasolina,1996-2002,BOSCH,S455D,118315X
0,CHEVROLET,CORSAEVO,CORSA EVO,Gasolina,2003+,BOSCH,S455D,118315X
0,CHEVROLET,AVEO,AVEO,Gasolina,2006+,BOSCH,NX110-5 MF (75AH/580A),1382713
0,CHEVROLET,CAPTIVA,CAPTIVA,Gasolina,2008+,BOSCH,S570D,1102303
0,CHEVROLET,SPARKLTGT,SPARK LT / GT,Gasolina,2008+,BOSCH,9PLACAS NS40ZL/40B19L.,115886
0,CHEVROLET,SAIL,SAIL,Gasolina,2011+,BOSCH,11 PLACAS NS60LS,115940
0,CHEVROLET,SAIL,SAIL,Gasolina,2011+,BOSCH,65B24LS,1835890
0,CHEVROLET,SONIC,SONIC,Gasolina,2011+,BOSCH,11 PLACAS NS60LS,115940
0,CHEVROLET,SONIC,SONIC,Gasolina,2011+,BOSCH,65B24LS,1835890
0,CITROEN,BERLINGO,BERLINGO,Gasolina,1995+,BOSCH,S560D,1102273
0,CITROEN,C3,C3,Gasolina,2004+,BOSCH,S560D,1102273
0,CITROEN,C4,C4,Gasolina,2004+,BOSCH,S560D,1102273
0,DAEWOO,CIELO,CIELO,Gasolina,1990+,BOSCH,S455D,118315X
0,DAEWOO,DAMAS,DAMAS,Gasolina,1990+,BOSCH,11 PLACAS NS60L MF,115932
0,DAEWOO,DAMAS,DAMAS,Gasolina,1990+,BOSCH,65B24L,1835882
0,DAEWOO,ESPERO,ESPERO,Gasolina,1990+,BOSCH,S560D,1102273
0,DAEWOO,LANOS,LANOS,Gasolina,1990+,BOSCH,S455D,118315X
0,DAEWOO,MATIZ,MATIZ,Gasolina,1990+,BOSCH,11 PLACAS NS60L MF,115932
0,DAEWOO,MATIZ,MATIZ,Gasolina,1990+,BOSCH,65B24L,1835882
0,DAEWOO,TICO,TICO,Gasolina,1990+,BOSCH,11 PLACAS NS60L MF,115932
0,DAEWOO,TICO,TICO,Gasolina,1990+,BOSCH,65B24L,1835882
0,DAIHATSU,CHARADE,CHARADE,Gasolina,1993+,BOSCH,11 PLACAS NS60L MF,115932
0,DAIHATSU,CHARADE,CHARADE,Gasolina,1993+,BOSCH,65B24L,1835882
